"chr","start","end","strand","pvalue","qvalue","meth.diff"
"chr1",134876,134876,"+",3.91360192597556e-06,0.000268320694837172,-17.1514386533873
"chr1",754502,754502,"+",0,0,-21.2913424124514
"chr1",845095,845095,"+",0,0,25.3335907030152
"chr1",899000,899000,"+",1.01064712154653e-11,2.68649385379009e-09,18.4024995431094
"chr1",904750,904750,"+",0,0,-23.501378429263
"chr1",931232,931232,"+",4.11254774146386e-06,0.000279873452332951,15.3727414995021
"chr1",962605,962605,"+",0,0,19.0355666042787
"chr1",970214,970214,"+",0,0,40.6072874493927
"chr1",972179,972179,"+",9.72655289643853e-12,2.59476366088131e-09,20.6349206349206
"chr1",1017197,1017197,"+",0,0,23.6970849906804
"chr1",1045472,1045472,"+",0,0,-22.8419220615873
"chr1",1046073,1046073,"+",0,0,-18.5236899472944
"chr1",1046164,1046164,"+",0,0,-22.1310098523966
"chr1",1110127,1110127,"+",6.41049435756713e-10,1.18854868417893e-07,-15.8935566979989
"chr1",1155757,1155757,"+",7.13399642804369e-07,6.14955864033038e-05,-17.809117965368
"chr1",1392451,1392451,"+",2.33808528093959e-11,5.80601750348217e-09,22.5882995746009
"chr1",1563789,1563789,"+",1.5121570662302e-11,3.89625243373745e-09,-22.6326951736788
"chr1",1575045,1575045,"+",6.30030826065386e-07,5.51457030119127e-05,-19.9837116970376
"chr1",1601014,1601014,"+",0,0,-18.060072012556
"chr1",1601051,1601051,"+",0,0,-19.655714164707
"chr1",1695473,1695473,"+",2.81016622419861e-05,0.00143715805720426,-15.4072287637332
"chr1",1695505,1695505,"+",3.70038486519064e-07,3.46588253673227e-05,-15.3598056463098
"chr1",1695509,1695509,"+",2.29904228987721e-09,3.76135304895591e-07,-16.4863124633028
"chr1",1804426,1804426,"+",2.6707065036824e-05,0.0013769380203742,-17.0145711588027
"chr1",1860087,1860087,"+",0,0,-17.7745071804478
"chr1",1871978,1871978,"+",6.1373591431213e-08,7.12055667031612e-06,-19.0514563921766
"chr1",1910745,1910745,"+",0,0,-16.7804739522398
"chr1",1911325,1911325,"+",0,0,-15.3493212541981
"chr1",1911558,1911558,"+",0,0,-16.3721075822879
"chr1",1911631,1911631,"+",0,0,-15.2629463333212
"chr1",1911713,1911713,"+",0,0,-18.8018341307815
"chr1",1911786,1911786,"+",0,0,-16.4716787164838
"chr1",1911859,1911859,"+",0,0,-16.1760009825596
"chr1",1912391,1912391,"+",0,0,-30.4873054873055
"chr1",1913121,1913121,"+",1.63407953834849e-10,3.423146322906e-08,-15.0075987841945
"chr1",1913141,1913141,"+",0,0,-20.0179809915232
"chr1",1913191,1913191,"+",0,0,-31.4991914991915
"chr1",1913236,1913236,"+",6.9289018966856e-11,1.56722319048407e-08,-17.1984465919207
"chr1",1913261,1913261,"+",0,0,-28.8224299065421
"chr1",1913378,1913378,"+",5.89784108218083e-08,6.86872757473374e-06,-15.9327530295272
"chr1",1913422,1913422,"+",0,0,-33.2140727489565
"chr1",1913579,1913579,"+",0,0,-29.6554412519728
"chr1",1933266,1933266,"+",0,0,20.2051515842261
"chr1",1961408,1961408,"+",4.44089209850063e-16,2.23710827161245e-13,31.6803984259715
"chr1",1961466,1961466,"+",0,0,23.2338032338032
"chr1",2076679,2076679,"+",0.000182156497769315,0.0067144127076069,-16.2454462659381
"chr1",2076778,2076778,"+",5.81417136658047e-11,1.33377833887609e-08,-16.0639568300331
"chr1",2076920,2076920,"+",2.32971218649958e-06,0.000171614556629373,-17.1709219858156
"chr1",2076934,2076934,"+",5.47701489916896e-06,0.000357738272697233,-17.5689367178729
"chr1",2082315,2082315,"+",2.07400763230225e-12,6.25288286010869e-10,-15.5639635954597
"chr1",2082319,2082319,"+",1.56430424169685e-13,5.60359968987858e-11,-16.154847845051
"chr1",2082321,2082321,"+",1.0413891970984e-13,3.82910909740567e-11,-16.0626462976758
"chr1",2082330,2082330,"+",4.59632332194815e-14,1.786587171725e-11,-15.6848969851572
"chr1",2082349,2082349,"+",2.33146835171283e-15,1.08112319014433e-12,-16.3375949892804
"chr1",2082978,2082978,"+",1.10380894979833e-06,8.99676536629453e-05,-15.4427230287796
"chr1",2112000,2112000,"+",0,0,-21.4127295037612
"chr1",2276371,2276371,"+",3.33066907387547e-16,1.69993895850171e-13,-18.2606866817393
"chr1",2288535,2288535,"+",9.01845848668703e-05,0.00377955344013201,17.195525223387
"chr1",2316583,2316583,"+",3.51940698806175e-14,1.38936841913212e-11,17.1914809860361
"chr1",2318652,2318652,"+",2.4513840957141e-09,3.98656994195178e-07,16.8164763122088
"chr1",2424947,2424947,"+",7.87484903288505e-05,0.00338294759703829,-16.4021164021164
"chr1",2455248,2455248,"+",7.55256693962814e-07,6.46357377467425e-05,15.4119874894258
"chr1",2455266,2455266,"+",8.76032327790099e-08,9.74309792893697e-06,15.236591214833
"chr1",2465355,2465355,"+",7.45203898588898e-12,2.03527310137998e-09,17.4901871063224
"chr1",2501338,2501338,"+",0,0,21.9918262727699
"chr1",2514575,2514575,"+",4.63699276753715e-08,5.55679232729756e-06,18.9909640342441
"chr1",2520499,2520499,"+",3.27273763645053e-11,7.88305591941597e-09,22.8990530203574
"chr1",2710376,2710376,"+",0,0,-19.1015846224453
"chr1",2838711,2838711,"+",0.000157170571808085,0.00595923005069894,16.3100775193798
"chr1",2886804,2886804,"+",0,0,-22.8031456113648
"chr1",2938988,2938988,"+",7.16823378432707e-10,1.31411035317672e-07,-16.5458677833852
"chr1",2984087,2984087,"+",3.87502322305444e-05,0.00187994328096284,15.8668175815884
"chr1",3183159,3183159,"+",1.35447209004269e-13,4.90150478042931e-11,15.878460805997
"chr1",3203766,3203766,"+",0,0,-24.2045049151736
"chr1",3204356,3204356,"+",0,0,-28.0806737588652
"chr1",3507201,3507201,"+",1.70632930007741e-09,2.87920178369287e-07,-17.9277520136685
"chr1",3507205,3507205,"+",1.56488191738191e-07,1.62794441593766e-05,-15.5445118938094
"chr1",3507222,3507222,"+",2.98266922704737e-06,0.000212556175492091,-15.1705477796125
"chr1",3659656,3659656,"+",0,0,-22.4537672747246
"chr1",3659742,3659742,"+",1.74336756142424e-09,2.93539061275407e-07,-17.9646177601104
"chr1",3686317,3686317,"+",0,0,-23.6315426416838
"chr1",3703709,3703709,"+",1.64090963039598e-13,5.86066948264414e-11,22.5965050699863
"chr1",3726326,3726326,"+",0,0,-19.5447865244753
"chr1",3731654,3731654,"+",2.22044604925031e-16,1.15521162270675e-13,-18.6128364389234
"chr1",3742103,3742103,"+",8.20297063608422e-09,1.1813781422214e-06,-16.7216098348271
"chr1",3742178,3742178,"+",6.29130525453547e-10,1.16883728122292e-07,-19.3803896518684
"chr1",3744272,3744272,"+",2.1316282072803e-14,8.65744950810391e-12,-16.5875751503006
"chr1",3791318,3791318,"+",0,0,-16.7924173305343
"chr1",3809422,3809422,"+",7.54951656745106e-15,3.27593514325038e-12,16.4983928129894
"chr1",4071052,4071052,"+",0.000110894874969625,0.00448117188928269,17.9739522130826
"chr1",4111741,4111741,"+",0,0,-18.3037798642858
"chr1",4239027,4239027,"+",0,0,20.3545420451938
"chr1",4391733,4391733,"+",0,0,-21.8539692953339
"chr1",5827352,5827352,"+",0,0,-15.8891547049442
"chr1",5828193,5828193,"+",5.11190885732482e-07,4.5960632390354e-05,-18.1906434251288
"chr1",5934236,5934236,"+",1.28446947489369e-06,0.000102606102853881,-22.434875066454
"chr1",5937167,5937167,"+",0,0,23.1621273521189
"chr1",5937391,5937391,"+",0,0,22.0163188601727
"chr1",5953786,5953786,"+",0,0,15.1078343487994
"chr1",6009857,6009857,"+",0,0,24.1220914577162
"chr1",6034199,6034199,"+",0,0,24.5442779511432
"chr1",6042933,6042933,"+",0,0,22.901709225139
"chr1",6516195,6516195,"+",8.13515181066204e-05,0.0034747319532333,-16.9655363705707
"chr1",6516203,6516203,"+",0.000203572148906983,0.00733607646488389,-15.9437054173896
"chr1",6516207,6516207,"+",6.77012248484488e-08,7.75771647966932e-06,-23.4865780324395
"chr1",6622289,6622289,"+",4.07844913166144e-05,0.00196216468968469,16.5028825995807
"chr1",6633229,6633229,"+",0,0,21.2954476015888
"chr1",6633233,6633233,"+",0,0,22.7326792106063
"chr1",7172188,7172188,"+",0,0,-24.0380786460926
"chr1",7569814,7569814,"+",2.59158782434099e-07,2.53541663341369e-05,-16.5454545454545
"chr1",7924296,7924296,"+",0,0,-29.6141506247889
"chr1",7946081,7946081,"+",1.38071470923151e-08,1.88530102562602e-06,15.5571635311143
"chr1",7973162,7973162,"+",8.90217266162896e-05,0.00373901776885248,-18.3218125960061
"chr1",7973214,7973214,"+",7.21110308465889e-07,6.2099445651971e-05,-16.2465721453994
"chr1",7973253,7973253,"+",1.6109336087311e-12,4.9346099580521e-10,-20.6862436479741
"chr1",7973279,7973279,"+",6.94777568810423e-13,2.25572704772436e-10,-17.9229508956211
"chr1",7973298,7973298,"+",1.11022302462516e-16,5.91807495522432e-14,-22.1642925603992
"chr1",8438595,8438595,"+",4.79561564331599e-05,0.00224556335596844,-15.2665273059838
"chr1",8914942,8914942,"+",6.37709402617759e-07,5.57350684954558e-05,-16.4296982341866
"chr1",8943835,8943835,"+",8.77076189453874e-15,3.76871346246388e-12,-15.7681921877182
"chr1",9074931,9074931,"+",0,0,27.6238643347119
"chr1",9179965,9179965,"+",3.78960149127749e-06,0.000261007929232652,-16.7770419426049
"chr1",9338373,9338373,"+",5.94948534882178e-11,1.3622379133983e-08,-15.614611232991
"chr1",9338383,9338383,"+",7.42905736927923e-12,2.02956885619443e-09,-15.6789269380068
"chr1",9338386,9338386,"+",1.3603562720732e-12,4.21594025734672e-10,-16.1907538515009
"chr1",9338423,9338423,"+",3.33066907387547e-15,1.51472331743766e-12,-16.5244561463387
"chr1",9380643,9380643,"+",1.06828196544395e-06,8.74670620351141e-05,17.5496277915633
"chr1",9416346,9416346,"+",3.10862446895044e-15,1.41929630389318e-12,28.4169006929058
"chr1",9426027,9426027,"+",0,0,-18.255770367487
